,@context,@id,@type,dc:date,dct:valid,odpt:carComposition,odpt:delay,odpt:destinationStation,odpt:frequency,odpt:fromStation,odpt:index,odpt:operator,odpt:originStation,odpt:railDirection,odpt:railway,odpt:toStation,odpt:trainNumber,odpt:trainOwner,odpt:trainType,owl:sameAs
20,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC7F6,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],30.0,odpt.Station:TokyoMetro.Yurakucho.Ichigaya,,odpt.Operator:TokyoMetro,['odpt.Station:Seibu.Ikebukuro.Hoya'],odpt.RailDirection:TokyoMetro.ShinKiba,odpt.Railway:TokyoMetro.Yurakucho,odpt.Station:TokyoMetro.Yurakucho.Kojimachi,A1404M,odpt.Operator:Seibu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.A1404M
21,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FCB7A,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],30.0,odpt.Station:TokyoMetro.Yurakucho.Yurakucho,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.Wakoshi'],odpt.RailDirection:TokyoMetro.ShinKiba,odpt.Railway:TokyoMetro.Yurakucho,,A1463S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.A1463S
22,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC7F4,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],30.0,odpt.Station:TokyoMetro.Yurakucho.Tsukishima,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.Wakoshi'],odpt.RailDirection:TokyoMetro.ShinKiba,odpt.Railway:TokyoMetro.Yurakucho,odpt.Station:TokyoMetro.Yurakucho.Toyosu,A1408M,odpt.Operator:Seibu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.A1408M
23,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC7F3,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],30.0,odpt.Station:TokyoMetro.Yurakucho.ShinKiba,,odpt.Operator:TokyoMetro,['odpt.Station:Seibu.Ikebukuro.Kotesashi'],odpt.RailDirection:TokyoMetro.ShinKiba,odpt.Railway:TokyoMetro.Yurakucho,,A1337S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.A1337S
24,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC9A1,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.Wakoshi'],30.0,odpt.Station:TokyoMetro.Yurakucho.ShinKiba,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],odpt.RailDirection:TokyoMetro.Wakoshi,odpt.Railway:TokyoMetro.Yurakucho,,B1549S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.B1549S
25,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC99F,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Tobu.Tojo.Kawagoeshi'],30.0,odpt.Station:TokyoMetro.Yurakucho.Shintomicho,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],odpt.RailDirection:TokyoMetro.Wakoshi,odpt.Railway:TokyoMetro.Yurakucho,,B1565S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.B1565S
26,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC99E,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Seibu.Ikebukuro.Kotesashi'],30.0,odpt.Station:TokyoMetro.Yurakucho.Nagatacho,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],odpt.RailDirection:TokyoMetro.KotakeMukaihara,odpt.Railway:TokyoMetro.Yurakucho,,B1445S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.B1445S
27,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC99D,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.Wakoshi'],30.0,odpt.Station:TokyoMetro.Yurakucho.Iidabashi,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],odpt.RailDirection:TokyoMetro.Wakoshi,odpt.Railway:TokyoMetro.Yurakucho,,B1423S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.B1423S
28,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FCD5C,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Yurakucho.Wakoshi'],30.0,odpt.Station:TokyoMetro.Yurakucho.Gokokuji,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],odpt.RailDirection:TokyoMetro.Wakoshi,odpt.Railway:TokyoMetro.Yurakucho,,B1427S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.B1427S
29,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC99B,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Seibu.Ikebukuro.Hoya'],30.0,odpt.Station:TokyoMetro.Yurakucho.Ikebukuro,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Yurakucho.ShinKiba'],odpt.RailDirection:TokyoMetro.KotakeMukaihara,odpt.Railway:TokyoMetro.Yurakucho,odpt.Station:TokyoMetro.Yurakucho.Kanamecho,B1422M,odpt.Operator:Seibu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Yurakucho.B1422M
