,@context,@id,@type,dc:date,odpt:operator,odpt:passengerSurveyObject,odpt:railway,odpt:station,owl:sameAs
1187,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208641,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 14959}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 14769}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 15151}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 15563}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 15797}]","['odpt.Railway:JR-East.Narita', 'odpt.Railway:JR-East.NaritaAbikoBranch', 'odpt.Railway:JR-East.NaritaAirportBranch']","['odpt.Station:JR-East.Narita.Narita', 'odpt.Station:JR-East.NaritaAbikoBranch.Narita', 'odpt.Station:JR-East.NaritaAirportBranch.Narita']",odpt.PassengerSurvey:JR-East.Narita
1188,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208644,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 19366}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 19062}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 19233}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 18958}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 19140}]",['odpt.Railway:JR-East.Yokohama'],['odpt.Station:JR-East.Yokohama.Naruse'],odpt.PassengerSurvey:JR-East.Naruse
1189,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208645,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 2954}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 2829}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 2890}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 2890}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 2892}]","['odpt.Railway:JR-East.Sobu', 'odpt.Railway:JR-East.Togane']","['odpt.Station:JR-East.Sobu.Naruto', 'odpt.Station:JR-East.Togane.Naruto']",odpt.PassengerSurvey:JR-East.Naruto
1190,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208646,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 5097}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 5069}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 5162}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 5188}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 5226}]",['odpt.Railway:JR-East.Utsunomiya'],['odpt.Station:JR-East.Utsunomiya.Nasushiobara'],odpt.PassengerSurvey:JR-East.Nasushiobara
1191,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208647,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 11875}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 12059}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 12268}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 12508}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 12759}]",['odpt.Railway:JR-East.Joban'],['odpt.Station:JR-East.Joban.Natori'],odpt.PassengerSurvey:JR-East.Natori
1192,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208648,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 19431}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 19063}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 19695}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 20270}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 20615}]",['odpt.Railway:JR-East.Musashino'],['odpt.Station:JR-East.Musashino.Niiza'],odpt.PassengerSurvey:JR-East.Niiza
1193,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000030F4DA0,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 872}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 929}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 1050}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 1024}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 1098}]",['odpt.Railway:JR-East.Nikko'],['odpt.Station:JR-East.Nikko.Nikko'],odpt.PassengerSurvey:JR-East.Nikko
1194,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003208649,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 14102}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 13696}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 13712}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 13723}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 13563}]",['odpt.Railway:JR-East.Tokaido'],['odpt.Station:JR-East.Tokaido.Ninomiya'],odpt.PassengerSurvey:JR-East.Ninomiya
1195,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320864A,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 102817}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 103809}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 107399}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 110529}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 113468}]","['odpt.Railway:JR-East.JobanRapid', 'odpt.Railway:JR-East.KeihinTohokuNegishi', 'odpt.Railway:JR-East.Yamanote']","['odpt.Station:JR-East.JobanRapid.Nippori', 'odpt.Station:JR-East.KeihinTohokuNegishi.Nippori', 'odpt.Station:JR-East.Yamanote.Nippori']",odpt.PassengerSurvey:JR-East.Nippori
1196,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320864B,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 2686}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 2539}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 2540}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 2582}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 2682}]",['odpt.Railway:JR-East.Chuo'],['odpt.Station:JR-East.Chuo.Nirasaki'],odpt.PassengerSurvey:JR-East.Nirasaki
1197,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320864C,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 23396}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 22693}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 22941}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 22721}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 22533}]",['odpt.Railway:JR-East.ChuoSobuLocal'],['odpt.Station:JR-East.ChuoSobuLocal.NishiChiba'],odpt.PassengerSurvey:JR-East.NishiChiba
1198,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320864D,odpt:PassengerSurvey,2018-08-21T19:00:00+09:00,odpt.Operator:JR-East,"[{'odpt:surveyYear': 2013, 'odpt:passengerJourneys': 130814}, {'odpt:surveyYear': 2014, 'odpt:passengerJourneys': 131895}, {'odpt:surveyYear': 2015, 'odpt:passengerJourneys': 134362}, {'odpt:surveyYear': 2016, 'odpt:passengerJourneys': 136067}, {'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 138177}]","['odpt.Railway:JR-East.ChuoSobuLocal', 'odpt.Railway:JR-East.Keiyo', 'odpt.Railway:JR-East.Musashino']","['odpt.Station:JR-East.ChuoSobuLocal.NishiFunabashi', 'odpt.Station:JR-East.Keiyo.NishiFunabashi', 'odpt.Station:JR-East.Musashino.NishiFunabashi']",odpt.PassengerSurvey:JR-East.NishiFunabashi
