,@type,dc:date,odpt:actualTime,odpt:aircraftModel,odpt:airline,odpt:departureAirport,odpt:destinationAirport,odpt:estimatedTime,odpt:flightNumber,odpt:flightStatus,odpt:operator,odpt:scheduledTime,odpt:terminal,owl:sameAs
82,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:NAY,odpt.Airport:HND,,"['NH0962', 'CA6707']",,odpt.Operator:HND-TIAT,19:45,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0962
83,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:EVA,odpt.Airport:TSA,odpt.Airport:HND,,"['BR0190', 'NH5824']",,odpt.Operator:HND-TIAT,19:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.BR0190
84,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:PVG,odpt.Airport:HND,,"['JL0086', 'MU8701']",,odpt.Operator:HND-TIAT,20:00,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0086
85,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:MNL,odpt.Airport:HND,,"['NH0870', 'PR1406']",,odpt.Operator:HND-TIAT,20:00,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0870
86,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:HHP,odpt.Airport:HND,,"['NH0860', '9W4166', 'UA7918', 'SA7134']",,odpt.Operator:HND-TIAT,20:00,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0860
87,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:HHP,odpt.Airport:HND,,"['JL0026', 'AA8437', 'CX6320']",,odpt.Operator:HND-TIAT,20:25,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0026
88,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:ORD,odpt.Airport:HND,20:30,"['NH0111', 'SQ5911', 'TG6177', 'UA7911']",,odpt.Operator:HND-TIAT,20:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0111
89,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:TSA,odpt.Airport:HND,,"['NH0854', 'BR2178']",,odpt.Operator:HND-TIAT,20:50,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0854
90,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:NAY,odpt.Airport:HND,,"['JL0022', 'CZ4854', 'MU8739']",,odpt.Operator:HND-TIAT,21:05,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0022
91,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:KAL,odpt.Airport:GMP,odpt.Airport:HND,,"['KE2711', 'JL5244']",,odpt.Operator:HND-TIAT,21:05,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.KE2711
92,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:THA,odpt.Airport:BKK,odpt.Airport:HND,,"['TG0660', 'NH5966']",,odpt.Operator:HND-TIAT,21:10,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.TG0660
93,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:JFK,odpt.Airport:HND,20:36,"['NH0109', 'SQ5915', 'TG6173', 'UA7909']",,odpt.Operator:HND-TIAT,21:15,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0109
94,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CES,odpt.Airport:PVG,odpt.Airport:HND,,"['MU0575', 'FM0575', 'JL5792']",,odpt.Operator:HND-TIAT,21:20,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.MU0575
95,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CCA,odpt.Airport:NAY,odpt.Airport:HND,,"['CA0183', 'NH5730']",,odpt.Operator:HND-TIAT,21:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.CA0183
96,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:GMP,odpt.Airport:HND,,"['JL0094', 'KE5709']",,odpt.Operator:HND-TIAT,21:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0094
97,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CPA,odpt.Airport:HHP,odpt.Airport:HND,,"['CX0542', 'JL7032']",,odpt.Operator:HND-TIAT,21:35,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.CX0542
98,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:SIA,odpt.Airport:SIN,odpt.Airport:HND,,"['SQ0634', 'NH6256']",,odpt.Operator:HND-TIAT,21:50,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.SQ0634
99,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:AAR,odpt.Airport:GMP,odpt.Airport:HND,,"['OZ1065', 'NH6984']",,odpt.Operator:HND-TIAT,22:00,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.OZ1065
100,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CAL,odpt.Airport:TSA,odpt.Airport:HND,,"['CI0222', 'JL5044']",,odpt.Operator:HND-TIAT,22:05,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.CI0222
101,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:HAL,odpt.Airport:HNL,odpt.Airport:HND,,['HA0855'],,odpt.Operator:HND-TIAT,22:05,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.HA0855
102,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:KUL,odpt.Airport:HND,,"['NH0886', 'UA7906']",,odpt.Operator:HND-TIAT,22:15,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0886
103,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:BKK,odpt.Airport:HND,,"['NH0878', '9W4174', 'TG6103']",,odpt.Operator:HND-TIAT,22:15,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0878
104,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:HAN,odpt.Airport:HND,,"['NH0858', 'VN3358', 'UA7921']",,odpt.Operator:HND-TIAT,22:15,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0858
105,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:XAX,odpt.Airport:KUL,odpt.Airport:HND,,['D70522'],,odpt.Operator:HND-TIAT,22:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.D70522
106,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:GMP,odpt.Airport:HND,,"['NH0868', 'OZ9104']",,odpt.Operator:HND-TIAT,22:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0868
107,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:QTR,odpt.Airport:IUD,odpt.Airport:HND,,"['QR0812', 'JL7998']",,odpt.Operator:HND-TIAT,22:40,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.QR0812
108,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:UAE,odpt.Airport:DXB,odpt.Airport:HND,,"['EK0312', 'JL5094']",,odpt.Operator:HND-TIAT,22:45,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.EK0312
109,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:KAL,odpt.Airport:ICN,odpt.Airport:HND,,"['KE0719', 'JL5256']",,odpt.Operator:HND-TIAT,22:50,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.KE0719
110,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:CQH,odpt.Airport:PVG,odpt.Airport:HND,,['9C8515'],,odpt.Operator:HND-TIAT,23:00,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.9C8515
111,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:HKE,odpt.Airport:HHP,odpt.Airport:HND,,['UO0622'],,odpt.Operator:HND-TIAT,23:15,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.UO0622
112,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:AAR,odpt.Airport:ICN,odpt.Airport:HND,,"['OZ0178', 'NH6896']",,odpt.Operator:HND-TIAT,23:30,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.OZ0178
